# Full Milky Way globular cluster catalog from Baumgardt & Vasiliev.
# Downloaded by scripts/fetch-full-catalog.py.
# name, RA(deg), Dec(deg), distance(kpc), pmRA*(mas/yr), pmDec(mas/yr), RV(km/s), mass(M_sun), tidal_radius(pc)
NGC 104,6.023792,-72.081306,4.52,5.253,-2.557,-17.45,8.530e+05,124.6
NGC 288,13.188500,-26.582611,8.99,4.157,-5.705,-44.45,9.620e+04,95.2
NGC 362,15.809416,-70.848778,8.83,6.692,-2.533,223.12,2.520e+05,86.9
Whiting 1,30.737499,-3.252778,30.59,-0.244,-2.019,-130.41,1.370e+03,43.9
NGC 1261,48.067543,-55.216225,16.40,1.599,-2.064,71.34,1.720e+05,138.1
Pal 1,53.333500,79.581055,11.18,-0.257,0.019,-75.72,9.260e+02,22.8
AM 1,58.759586,-49.615276,118.91,0.384,-0.196,118.00,1.960e+04,262.6
Eridanus,66.185608,-21.186781,84.68,0.477,-0.295,-22.91,9.290e+03,157.3
Pal 2,71.524620,31.381500,26.17,1.229,-1.533,-135.97,2.200e+05,121.3
NGC 1851,78.528160,-40.046555,11.95,2.138,-0.670,321.40,2.830e+05,123.7
NGC 1904,81.045837,-24.524416,13.08,2.470,-1.599,205.76,1.810e+05,66.2
NGC 2298,102.247543,-36.005306,9.83,3.312,-2.183,147.15,4.980e+04,73.1
NGC 2419,114.535286,38.881944,88.47,0.002,-0.540,-21.10,7.830e+05,735.0
Pyxis,136.986900,-37.226600,36.53,1.026,0.144,40.46,3.220e+04,132.8
NGC 2808,138.012909,-64.863495,10.06,1.004,0.269,103.57,7.910e+05,160.5
E 3,140.237793,-77.281891,7.88,-2.734,7.088,11.70,2.560e+03,20.0
Pal 3,151.381622,0.071667,94.84,0.071,-0.182,94.04,1.850e+04,229.7
NGC 3201,154.403427,-46.412476,4.74,8.350,-1.976,495.38,1.930e+05,82.3
Pal 4,172.318329,28.973373,101.39,-0.460,-0.291,72.40,1.530e+04,207.5
Crater,174.068750,-10.876972,147.23,-0.013,-0.132,148.10,1.210e+04,245.8
NGC 4147,182.526260,18.542639,18.54,-1.690,-2.092,179.35,4.510e+04,93.7
NGC 4372,186.439101,-72.659084,5.71,-6.409,3.309,75.59,1.890e+05,74.0
Rup 106,189.667500,-51.150278,20.71,-1.253,0.401,-38.36,3.400e+04,73.5
NGC 4590,189.866577,-26.744057,10.40,-2.732,1.764,-93.11,1.280e+05,78.3
BH 140,193.472915,-67.177276,4.81,-14.901,1.258,90.30,6.120e+04,51.8
NGC 4833,194.891342,-70.876503,6.48,-8.390,-0.968,201.99,1.860e+05,77.1
NGC 5024,198.230209,18.168165,18.50,-0.131,-1.332,-63.37,5.020e+05,183.0
NGC 5053,199.112885,17.700251,17.54,-0.338,-1.214,42.82,6.280e+04,91.6
NGC 5139,201.696991,-47.479473,5.43,-3.236,-6.731,232.78,3.940e+06,208.6
NGC 5272,205.548416,28.377277,10.18,-0.153,-2.679,-147.20,4.090e+05,129.2
NGC 5286,206.611710,-51.374249,11.10,0.187,-0.160,62.38,4.240e+05,95.5
AM 4,209.089066,-27.165171,29.01,-0.538,-2.485,151.19,7.460e+02,28.9
NGC 5466,211.363709,28.534445,16.12,-5.336,-0.809,106.82,5.610e+04,76.7
NGC 5634,217.405335,-5.976430,25.96,-1.690,-1.489,-16.07,2.470e+05,192.5
